name,median_household_income,median_monthly_rent,msa
" NH-VT Micro Area""",72588,1135,30100]
" CA Metro Area""",82503,1889,31080]
" FL Metro Area""",63814,1463,33100]
" WI Metro Area""",68449,1107,33340]
" MN-WI Metro Area""",87433,1389,33460]
" PA-NJ-DE-MD Metro Area""",80007,1351,37980]
" PA Metro Area""",66609,924,38300]
" CA Metro Area""",84421,1636,40900]
" MO-IL Metro Area""",70189,1032,41180]
" MA Metro Area""",65520,1198,44140]
" CA Metro Area""",87770,1947,46700]
" VA-NC Metro Area""",72686,1335,47260]
" DC-VA-MD-WV Metro Area""",110355,1890,47900]
" MA-CT Metro Area""",83195,1394,49340]
" MI Metro Area""",76918,1332,11460]
" GA Metro Area""",59628,1037,12020]
" AL Metro Area""",52424,896,12220]
" MD Metro Area""",86302,1477,12580]
" MA-NH Metro Area""",100750,1889,14460]
" CO Metro Area""",90168,1706,14500]
" IL-IN-WI Metro Area""",78166,1372,16980]
" OH Metro Area""",62315,954,17460]
" CO Metro Area""",90716,1673,19740]
" TX Metro Area""",70893,1261,26420]]
