median_household_income,median_monthly_rent,state_id,puma
47194,596,1,00100
60658,927,1,00301
44099,604,1,01800
41694,863,1,02702
51786,793,1,02703
47058,898,6,00702
51319,762,8,00100
107634,1580,8,00801
90477,1546,8,00802
69610,1536,8,00803
71891,1451,8,00805
85151,1762,12,01101
39964,594,12,01701
87490,1447,12,02101
51088,997,12,03107
102758,1810,12,08616
53973,902,13,00100
40859,647,13,01800
51963,1121,13,02001
56138,846,17,01701
112110,1746,17,03107
43200,703,24,00100
103811,1659,24,00301
80050,1487,24,00502
70722,1323,24,00504
74455,1357,24,00505
55232,1099,24,00506
42247,953,24,00801
55454,1168,24,00802
55592,1111,24,00803
44328,1030,24,00805
64954,1553,24,01101
60476,977,25,00100
61876,1134,25,00301
59867,1224,25,00502
88270,1626,25,00504
114195,1986,25,00505
106363,2224,25,00506
114863,2008,25,00702
80564,1650,25,00703
48233,661,26,00100
68509,927,26,00801
71517,993,26,00802
66228,894,26,01701
59072,871,26,02101
68053,1373,26,02702
55829,1058,26,02703
62510,840,27,00100
94914,1452,27,01101
88359,1234,27,01800
46643,596,29,00100
86996,1267,29,01701
65152,996,29,02001
58628,993,33,00100
55540,738,39,00100
42784,724,39,00801
76863,1109,39,00802
35818,692,39,04603
70331,1006,39,04604
59881,855,42,00702
57838,808,42,00801
53123,809,42,00802
51298,801,42,00803
44312,940,42,01701
60881,811,42,02001
46030,894,42,02702
69389,1126,42,02703
43641,1007,42,02803
48608,630,48,00100
64900,1004,48,00502
43146,640,48,01800
70646,1328,48,02001
77794,1218,48,02101
55923,1207,48,04603
101788,1736,48,04604
49895,724,55,00100
