name,median_household_income,median_monthly_rent,msa
" CA Metro Area""",63795,1442,46700]
" VA-NC Metro Area""",57356,1224,47260]
" DC-VA-MD-WV Metro Area""",86680,1695,47900]
" MA Metro Area""",60493,1178,49340]
" MI Metro Area""",56612,1106,11460]
" GA Metro Area""",38663,833,12020]
" AL Metro Area""",42965,821,12220]
" MD Metro Area""",65463,1303,12580]
" MA-NH Metro Area""",69455,1466,14460]
" CO Metro Area""",68637,1305,14500]
" IL-IN-WI Metro Area""",57267,1223,16980]
" OH Metro Area""",45936,867,17460]
" CO Metro Area""",59230,1193,19740]
" TX Metro Area""",54901,1007,26420]
" NH-VT Micro Area""",50871,961,30100]
" FL Metro Area""",45407,1189,33100]
" WI Metro Area""",50664,974,33340]
" MN-WI Metro Area""",63352,1194,33460]
" PA-NJ-DE-MD Metro Area""",58322,1177,37980]
" PA Metro Area""",48854,762,38300]
" CA Metro Area""",55151,1251,40900]
" MO-IL Metro Area""",51164,924,41180]
" MA Metro Area""",50229,975,44140]]
