median_household_income,median_monthly_rent,state_id,puma
60702,1490,6,08702
41389,671,8,00100
92162,1506,8,00801
73334,1256,8,00802
60291,1325,8,00803
80740,1392,8,00804
61863,1144,8,00805
82875,1643,9,00100
136500,2704,9,00101
42687,1189,9,00104
88362,1724,9,00105
55686,1185,9,00301
78623,1432,9,00906
69995,1292,9,01100
60311,1218,9,01101
40857,964,10,00101
77175,1388,10,00104
120511,2019,11,00101
33120,948,11,00104
84623,1813,11,00105
31789,800,12,00101
66504,1515,12,01101
40015,626,12,01701
57757,1012,12,01900
62182,1161,12,02101
38899,615,12,02300
43785,883,12,03107
43189,943,12,05705
61483,1552,12,08614
88683,1569,12,08616
34865,509,12,12100
42730,828,13,00100
36967,909,13,00401
32795,628,13,01100
33723,527,13,01200
41651,698,13,01600
31328,609,13,01800
41713,803,13,01900
45838,1030,13,02001
45682,782,13,02300
45191,824,13,02900
51282,710,17,00104
48159,729,17,00105
50329,652,17,00401
49391,759,17,01701
56656,787,17,01900
49761,852,17,02300
92413,1709,17,03107
37095,764,18,00101
66968,1060,18,00104
36687,687,18,00401
51537,696,18,01100
47731,823,18,01200
44788,630,18,01600
69786,1034,18,01801
83457,1259,18,01803
40913,704,18,01900
52111,952,18,02302
51450,756,18,02900
58571,643,19,00100
51606,918,19,01100
54010,703,19,01200
72292,1121,19,01600
45144,591,19,01800
45165,542,19,01900
45362,647,19,02300
36538,640,22,00100
45304,749,22,00101
40585,490,22,01100
40179,671,22,01200
75308,925,22,01600
37247,642,22,01800
50555,866,22,01900
52221,1013,22,02201
51039,931,22,02300
35335,816,22,02302
25837,860,22,02401
48071,1053,22,02402
41160,665,24,00100
98670,1645,24,00301
61772,1312,24,00502
59234,1190,24,00504
67395,1243,24,00505
49544,947,24,00506
34877,924,24,00801
42151,1021,24,00802
48801,985,24,00803
44378,1041,24,00804
42110,942,24,00805
58249,1315,24,01101
67319,1345,24,01202
88797,1671,24,01600
52514,887,25,00100
55163,1015,25,00301
42270,1068,25,00502
71628,1408,25,00504
99427,1761,25,00505
75137,1664,25,00506
51819,1118,25,00701
95614,1711,25,00702
66730,1268,25,00703
66163,1122,25,01600
34734,940,25,01900
51021,890,25,01901
38915,599,26,00100
56311,869,26,00801
