school.name,school.state_fips,county_fips
American University,11,001
Auburn University,1,081
Baylor University,48,309
Binghamton University,36,007
Boston College,25,017
Boston University,25,025
Brandeis University,25,017
Brigham Young University,49,049
Brown University,44,044
California Institute of Technology,6,037
Carnegie Mellon University,42,003
Case Western Reserve University,39,035
Clark University,25,027
Clemson University,45,077
Colorado School of Mines,8,059
Columbia University in the City of New York,36,061
Cornell University,36,109
Dartmouth College,33,009
Duke University,37,063
Elon University,37,001
Emory University,13,121
Florida State University,12,073
Fordham University,36,005
George Washington University,11,001
Georgetown University,11,001
Georgia Institute of Technology-Main Campus,13,121
Gonzaga University,53,063
Harvard University,25,017
Howard University,11,001
Indiana University-Bloomington,18,105
Johns Hopkins University,24,510
Lehigh University,42,077
Loyola Marymount University,6,037
Marquette University,55,079
Massachusetts Institute of Technology,25,017
Michigan State University,26,037
New Jersey Institute of Technology,34,013
New York University,36,061
North Carolina State University at Raleigh,37,183
Northeastern University,25,025
Northwestern University,17,031
Ohio State University-Main Campus,39,055
Pepperdine University,6,037
Princeton University,34,021
Purdue University-Main Campus,18,157
Rensselaer Polytechnic Institute,36,083
Rice University,48,201
Rutgers University-New Brunswick,34,023
Santa Clara University,6,085
Southern Methodist University,48,113
Stanford University,6,085
Stevens Institute of Technology,34,017
Stony Brook University,36,103
Syracuse University,36,067
Texas A & M University-College Station,48,041
Texas Christian University,48,439
The University of Texas at Austin,48,453
Tufts University,25,017
Tulane University of Louisiana,22,071
University at Buffalo,36,029
University of California-Berkeley,6,001
University of California-Davis,6,113
University of California-Irvine,6,059
University of California-Los Angeles,6,037
University of California-Merced,6,047
University of California-Riverside,6,065
University of California-San Diego,6,073
University of California-Santa Barbara,6,083
University of California-Santa Cruz,6,087
University of Chicago,17,031
University of Colorado Boulder,8,013
University of Connecticut,9,013
University of Delaware,10,003
University of Florida,12,001
University of Georgia,13,059
University of Illinois Chicago,17,031
University of Illinois Urbana-Champaign,17,019
University of Iowa,19,103
University of Maryland-College Park,24,033
University of Massachusetts-Amherst,25,015
University of Miami,12,086
University of Michigan-Ann Arbor,26,161
University of Minnesota-Twin Cities,27,053
University of North Carolina at Chapel Hill,37,063
University of Notre Dame,18,141
University of Pennsylvania,42,101
University of Pittsburgh-Pittsburgh Campus,42,003
University of Rochester,36,055
University of San Diego,6,073
University of South Florida,12,057
University of Southern California,6,037
University of Virginia-Main Campus,51,540
University of Washington-Seattle Campus,53,033
University of Wisconsin-Madison,55,025
Vanderbilt University,47,037
Villanova University,42,045
Virginia Polytechnic Institute and State University,51,121
Wake Forest University,37,067
Washington University in St Louis,29,510
William & Mary,51,830
Worcester Polytechnic Institute,25,047
Yale University,9,009
Yeshiva University,36,061
